0.47	0.31	0.71
0.44	0.23	0.73
0.50	0.16	0.66
0.56	0.30	0.63
-0.50	0.16	0.66
-0.44	0.23	0.73
-0.47	0.31	0.71
-0.56	0.30	0.63
0.55	0.11	0.55
0.62	0.29	0.52
-0.55	0.11	0.55
-0.62	0.29	0.52
0.35	0.10	0.69
0.35	0.03	0.60
-0.35	0.03	0.60
-0.35	0.10	0.69
0.35	0.20	0.75
-0.35	0.20	0.75
0.27	0.24	0.76
0.20	0.16	0.71
-0.20	0.16	0.71
-0.27	0.24	0.76
0.16	0.11	0.62
-0.16	0.11	0.62
0.14	0.31	0.70
0.08	0.30	0.61
-0.08	0.30	0.61
-0.14	0.31	0.70
0.24	0.31	0.75
-0.24	0.31	0.75
0.27	0.40	0.75
0.20	0.46	0.69
-0.20	0.46	0.69
-0.27	0.40	0.75
0.16	0.50	0.59
-0.16	0.50	0.59
0.35	0.52	0.66
0.35	0.57	0.55
-0.35	0.57	0.55
-0.35	0.52	0.66
0.35	0.43	0.73
-0.35	0.43	0.73
0.44	0.40	0.71
0.50	0.45	0.63
-0.50	0.45	0.63
-0.44	0.40	0.71
0.55	0.49	0.52
-0.55	0.49	0.52
0.45	0.41	0.73
0.48	0.31	0.73
-0.45	0.41	0.73
-0.48	0.31	0.73
0.35	0.45	0.75
-0.35	0.45	0.75
0.27	0.41	0.77
-0.27	0.41	0.77
0.23	0.32	0.78
-0.23	0.32	0.78
0.27	0.23	0.78
-0.27	0.23	0.78
0.35	0.19	0.77
-0.35	0.19	0.77
0.45	0.23	0.75
-0.45	0.23	0.75
0.35	0.32	0.78
-0.35	0.32	0.78
0.18	-0.91	0.62
0.16	-0.87	0.69
-0.00	-0.88	0.70
-0.00	-0.93	0.64
-0.16	-0.87	0.69
-0.18	-0.91	0.62
0.33	-0.89	0.58
0.23	-0.85	0.69
-0.23	-0.85	0.69
-0.33	-0.89	0.58
0.37	-0.84	0.59
0.27	-0.76	0.71
-0.27	-0.76	0.71
-0.37	-0.84	0.59
0.35	-0.64	0.61
0.25	-0.64	0.73
-0.25	-0.64	0.73
-0.35	-0.64	0.61
0.31	-0.38	0.59
0.21	-0.38	0.73
-0.21	-0.38	0.73
-0.31	-0.38	0.59
0.20	-0.13	0.56
0.44	-0.09	0.52
0.40	0.02	0.65
0.12	-0.03	0.80
-0.40	0.02	0.65
-0.44	-0.09	0.52
-0.20	-0.13	0.56
-0.12	-0.03	0.80
0.63	0.01	0.52
0.62	0.11	0.60
-0.62	0.11	0.60
-0.63	0.01	0.52
0.83	0.19	0.41
0.73	0.26	0.56
-0.73	0.26	0.56
-0.83	0.19	0.41
0.86	0.48	0.53
0.74	0.43	0.60
-0.74	0.43	0.60
-0.86	0.48	0.53
0.71	0.54	0.56
0.69	0.48	0.67
-0.69	0.48	0.67
-0.71	0.54	0.56
0.49	0.66	0.61
0.44	0.62	0.73
-0.44	0.62	0.73
-0.49	0.66	0.61
0.32	0.82	0.65
0.31	0.71	0.76
-0.31	0.71	0.76
-0.32	0.82	0.65
0.16	0.79	0.67
0.20	0.69	0.78
-0.20	0.69	0.78
-0.16	0.79	0.67
0.06	0.56	0.68
0.10	0.51	0.78
-0.10	0.51	0.78
-0.06	0.56	0.68
0.00	0.50	0.68
0.00	0.43	0.77
0.16	0.48	0.71
0.25	0.54	0.69
-0.25	0.54	0.69
-0.16	0.48	0.71
0.33	0.54	0.68
-0.33	0.54	0.68
0.43	0.50	0.66
-0.43	0.50	0.66
0.60	0.44	0.61
-0.60	0.44	0.61
0.64	0.36	0.60
-0.64	0.36	0.60
0.62	0.25	0.61
-0.62	0.25	0.61
0.49	0.12	0.64
-0.49	0.12	0.64
0.38	0.08	0.68
-0.38	0.08	0.68
0.20	0.16	0.71
-0.20	0.16	0.71
0.16	0.21	0.72
0.00	0.11	0.70
-0.16	0.21	0.72
0.12	0.37	0.72
-0.12	0.37	0.72
0.00	0.28	0.72
0.13	0.28	0.72
-0.13	0.28	0.72
0.06	-0.82	0.75
-0.00	-0.82	0.74
-0.06	-0.82	0.75
0.12	-0.77	0.76
-0.12	-0.77	0.76
0.11	-0.65	0.77
-0.11	-0.65	0.77
0.08	-0.37	0.77
0.12	-0.62	0.77
-0.12	-0.62	0.77
-0.08	-0.37	0.77
0.09	-0.22	0.75
0.00	-0.26	0.75
-0.00	-0.37	0.77
-0.09	-0.22	0.75
-0.00	-0.61	0.77
-0.00	-0.69	0.78
0.12	-0.16	0.75
0.13	-0.15	0.79
0.09	-0.20	0.78
-0.09	-0.20	0.78
-0.13	-0.15	0.79
-0.12	-0.16	0.75
0.10	-0.08	0.73
0.11	-0.06	0.77
-0.11	-0.06	0.77
-0.10	-0.08	0.73
0.00	-0.07	0.73
0.04	-0.05	0.77
-0.04	-0.05	0.77
0.00	-0.13	0.74
0.00	-0.11	0.79
0.00	-0.25	0.79
0.08	-0.18	0.80
0.00	-0.21	0.81
-0.08	-0.18	0.80
0.00	-0.13	0.82
0.05	-0.07	0.80
-0.05	-0.07	0.80
0.09	-0.08	0.80
-0.09	-0.08	0.80
0.11	-0.15	0.83
-0.11	-0.15	0.83
0.16	-0.18	0.71
-0.16	-0.18	0.71
0.18	-0.25	0.72
-0.18	-0.25	0.72
0.26	-0.26	0.56
-0.26	-0.26	0.56
0.23	-0.20	0.55
-0.23	-0.20	0.55
-0.00	-0.70	0.76
0.09	-0.67	0.77
-0.09	-0.67	0.77
0.09	-0.75	0.76
-0.09	-0.75	0.76
0.05	-0.80	0.74
-0.05	-0.80	0.74
-0.00	-0.81	0.74
0.05	-0.79	0.69
-0.00	-0.80	0.69
-0.05	-0.79	0.69
0.09	-0.75	0.69
-0.09	-0.75	0.69
0.09	-0.69	0.71
-0.09	-0.69	0.71
-0.00	-0.72	0.70
0.19	0.23	0.74
0.17	0.29	0.74
-0.19	0.23	0.74
-0.17	0.29	0.74
0.18	0.37	0.73
-0.18	0.37	0.73
0.21	0.45	0.73
-0.21	0.45	0.73
0.23	0.18	0.75
-0.23	0.18	0.75
0.38	0.13	0.71
-0.38	0.13	0.71
0.48	0.17	0.69
-0.48	0.17	0.69
0.58	0.26	0.64
-0.58	0.26	0.64
0.59	0.35	0.64
-0.59	0.35	0.64
0.56	0.41	0.64
-0.56	0.41	0.64
0.42	0.47	0.72
-0.42	0.47	0.72
0.34	0.50	0.70
-0.34	0.50	0.70
0.27	0.49	0.71
-0.27	0.49	0.71
0.23	0.43	0.70
0.28	0.47	0.71
-0.23	0.43	0.70
-0.28	0.47	0.71
0.34	0.47	0.69
-0.34	0.47	0.69
0.41	0.46	0.69
-0.41	0.46	0.69
0.53	0.40	0.63
-0.53	0.40	0.63
0.55	0.34	0.63
-0.55	0.34	0.63
0.55	0.27	0.63
-0.55	0.27	0.63
0.46	0.18	0.67
-0.46	0.18	0.67
0.38	0.15	0.70
-0.38	0.15	0.70
0.24	0.19	0.72
-0.24	0.19	0.72
0.20	0.24	0.71
-0.20	0.24	0.71
0.20	0.37	0.71
-0.20	0.37	0.71
0.20	0.29	0.71
-0.20	0.29	0.71
0.11	0.52	0.55
0.00	0.46	0.54
-0.11	0.52	0.55
0.20	0.72	0.54
-0.20	0.72	0.54
0.34	0.74	0.51
-0.34	0.74	0.51
0.48	0.60	0.48
-0.48	0.60	0.48
0.68	0.50	0.43
-0.68	0.50	0.43
0.80	0.45	0.40
-0.80	0.45	0.40
0.77	0.20	0.34
-0.77	0.20	0.34
0.60	0.04	0.39
-0.60	0.04	0.39
0.44	-0.05	0.46
-0.44	-0.05	0.46
-0.00	-0.54	0.35
-0.00	-0.45	0.30
0.18	-0.39	0.27
0.12	-0.50	0.39
-0.18	-0.39	0.27
-0.12	-0.50	0.39
-0.00	-0.77	0.39
0.14	-0.72	0.41
-0.14	-0.72	0.41
-0.00	-0.93	0.52
0.16	-0.90	0.50
-0.16	-0.90	0.50
0.33	-0.87	0.46
-0.33	-0.87	0.46
0.29	-0.67	0.42
-0.29	-0.67	0.42
0.25	-0.46	0.41
-0.25	-0.46	0.41
0.23	-0.31	0.42
-0.23	-0.31	0.42
0.22	-0.24	0.43
0.21	-0.18	0.47
-0.21	-0.18	0.47
-0.22	-0.24	0.43
0.20	-0.12	0.49
-0.20	-0.12	0.49
-0.00	0.00	-0.85
0.34	0.00	-0.69
0.34	-0.19	-0.54
-0.00	-0.25	-0.67
-0.34	-0.19	-0.54
-0.34	0.00	-0.69
0.30	-0.33	-0.26
-0.00	-0.41	-0.34
-0.30	-0.33	-0.26
0.21	-0.37	0.18
-0.00	-0.44	0.21
-0.21	-0.37	0.18
0.73	-0.04	0.05
0.85	0.24	0.01
-0.73	-0.04	0.05
-0.85	0.24	0.01
-0.00	0.49	-0.92
0.46	0.38	-0.76
-0.46	0.38	-0.76
0.00	0.92	0.19
0.45	0.87	0.14
0.45	0.92	-0.17
0.00	0.98	-0.18
-0.45	0.92	-0.17
